chiefcomplaint,total_cases_F,total_cases_M,deaths_F,deaths_M,survivors_F,survivors_M,mortality_rate_F,mortality_rate_M
POST ICTAL ,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
POST LP H/A,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
POST LP HA,16.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0
"POST LP HA, BACK PAIN",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
POST LP HEADACHE,18.0,16.0,0.0,0.0,18.0,16.0,0.0,0.0
POST NASAL DRIP,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
POST NECK LAC,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
POST OF BLEEDING,0.0,21.0,0.0,0.0,0.0,21.0,0.0,0.0
POST OP  EVAL,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
POST OP  FEVER,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
POST OP  N/V,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
POST OP  PAIN,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
POST OP ABD PAIN,31.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0
POST OP ABD PAIN/ DIARRHEA,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
POST OP BACK PAIN,9.0,1.0,0.0,0.0,9.0,1.0,0.0,0.0
POST OP BLEED,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
POST OP BLEEDING,105.0,46.0,0.0,2.0,105.0,44.0,0.0,4.3
POST OP BLEEDING ,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
POST OP BLEEDING RIGHT SHOULDER,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
"POST OP BLEEDING, HEMOPHILIA",0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
POST OP BLEED\,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
POST OP BRUISING,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
POST OP CELLULITIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
POST OP CHECK,3.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0
POST OP CHILLS/ACHES,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
POST OP COMPLICATION,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
POST OP COMPLICATIONS,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0
POST OP COMPLICATIONS ,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
POST OP CONCERNS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
POST OP DRAINAGE,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0
"POST OP DYSPNEA, LEG NUMBNESS",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
POST OP EVAL,11.0,13.0,1.0,0.0,10.0,13.0,9.1,0.0
POST OP FEVER,37.0,34.0,1.0,0.0,36.0,34.0,2.7,0.0
POST OP FEVER 6 DAYS POST OP,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
POST OP FEVER/ABD PAIN,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
POST OP FEVER/PAIN,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
POST OP FX,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
POST OP HA,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
POST OP HCT DROP,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
POST OP HIP WOUND DEHISCENCE,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
POST OP HYPOTENSION/DIZZINESS,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
POST OP INFECTION,2.0,9.0,0.0,0.0,2.0,9.0,0.0,0.0
POST OP INFECTIONS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
POST OP INFX,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
POST OP LEFT KNEE PAIN,13.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0
"POST OP LEFT KNEE PAIN, Fever",2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
POST OP NAUSEA,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
POST OP OOZING,0.0,13.0,0.0,0.0,0.0,13.0,0.0,0.0
POST OP PAIN,128.0,109.0,0.0,0.0,128.0,109.0,0.0,0.0
POST OP PAIN AND FEVER,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
POST OP PAIN LEFT WRIST,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
"POST OP PAIN, NAUSEA",7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
POST OP PAIN/ WORSENING LFT,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
POST OP PAIN/DRNG,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
POST OP PAIN/FEVER,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
POST OP R HIP PAIN,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
POST OP R LEG,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
POST OP RASH,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
POST OP RECTAL PAIN,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
POST OP REDNESS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
POST OP RLQ PAIN,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
POST OP SHOULDER SWELLING/PAIN,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
POST OP STENAL INFECTION,0.0,2.0,0.0,1.0,0.0,1.0,0.0,50.0
POST OP SWELLING,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
POST OP SWELLING RIGHT SHOULDER,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
POST OP TESTICULAR PAIN/DRAINANGE,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
POST OP WEAKNESS,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
POST OP WOUND BLEEDING/HEMATURIA,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
POST OP WOUND DEHISCENCE,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
POST OP WOUND DIHISCENSE,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0
POST OP WOUND DRAINAGE,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
POST OP WOUND DRAINAGE/PAIN,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
POST OP WOUND EVAL,1.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0
POST OP WOUND INFECTION,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
POST OP WOUND REDNESS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
POST OP WOUND SWELLING,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
"POST OP, N/V ABD  PAIN",8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
"POST OP, R Hand pain",0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0
POST OP/BACK PAIN,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
POST PARTUM BREAST PAIN/C-SECTION PAIN,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
POST PARTUM FEVER,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
POST PARTUM HTN,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
POST PARTUM RIGHT SHOULDER PAIN,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
POST PROCEDURAL BLEEDING,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"POST PROCEDURE ABD PAIN, Nausea",2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
POST PROCEDURE FEVER,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
POST SURGERY ABD PAIN,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
POST SURGICAL  PAIN,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
POST TONIC CLONIC,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
POST TRANSPLANT FEVER,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
POST TRAUMATIC ARREST,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
POST-OP BLEEDING,30.0,3.0,0.0,0.0,30.0,3.0,0.0,0.0
POST-OP EVAL,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
POST-OP FEVER,2.0,20.0,0.0,0.0,2.0,20.0,0.0,0.0
POST-OP INFECTION,14.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0
POST-OP PAIN,1.0,7.0,0.0,0.0,1.0,7.0,0.0,0.0
POST-OP URINARY RETENTION,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
POST-OP VOMITING,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
POSTERIOR CHEST PAIN,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
"POSTERIOR CHEST PAIN, DIFFICULTY SWALLOWING",8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
POSTERIOR HA,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
POSTERIOR HEAD LACERATION,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
POSTERIOR HEAD SWELLING,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
POSTERIOR RIB PAIN,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
POSTERIOR RIGHT KNEE PAIN,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
POSTITIVE BLOOD CULTURES,24.0,0.0,1.0,0.0,23.0,0.0,4.2,0.0
POSTOP BLEED THROAT,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
POSTOP FEVER,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
POSTOP KNEE REDNESS AND FEVER,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
POSTOP NAUSEA,0.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0
POSTOPERATIVE COMPLICATIONS,30.0,34.0,0.0,0.0,30.0,34.0,0.0,0.0
POSTPARTUM BLEEDING,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
POT BROWNIE REACTION,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
POTASSIUM 3 TODAY,0.0,19.0,0.0,0.0,0.0,19.0,0.0,0.0
POTASSIUM CHECK,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
POUNDING IN CHEST,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
PP VAG BLEEDING,17.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0
PRE OP,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PRE SYNCOPAL,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
PRE SYNCOPE,33.0,9.0,0.0,0.0,33.0,9.0,0.0,0.0
PRE TERM LABOR,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PRE-OP,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
PRE-SEIZURE,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
"PRE-SEIZURE, NOT FEELING WELL",0.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0
PRE-SYNCOPAL,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
PRE-SYNCOPE,28.0,35.0,0.0,1.0,28.0,34.0,0.0,2.9000000000000004
PRE-SYNCOPE /PALPATATIONS,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
"PRE-SYNCOPE, Dyspnea",3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
PRE-SYNCOPE/SUDDEN MALAISE,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
PRE-TAMPONADE,9.0,0.0,1.0,0.0,8.0,0.0,11.1,0.0
PRE-TERM LABOR,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"PRE-TERM LABOR, Pregnant",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PREECLAMPSIA,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PREG  N/V  DIZZY,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
PREG /BLEEDING,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
PREG 22WKS/D/C,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PREG ABD PAIN,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
PREG BLEEDING,16.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0
PREG BLEEDING ,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
PREG CRAMPING,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PREG FALL,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"PREG KIDNEYSTONE, Transfer",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PREG LLQ PAIN,11.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
PREG SPOTTING,22.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0
PREG VAG BLEED,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
PREG VAG BLEEDING,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"PREG, Asthma exacerbation",3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
"PREG, CALF PAIN",4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
"PREG, CRAMPING",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"PREG, HERNIA",9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
"PREG, PALPS",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"PREG, Presyncope",2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"PREG, VAG BLEEDING",2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
PREG/ BLEEDING,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
PREG/ VOMITED BLOOD,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
PREG/?LABOR PAIN,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PREG/ABD PAIN,14.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0
PREG/ABD&BACK PAIN,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
PREG/BLEEDING,11.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
PREG/CONTRACTIONS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PREG/CRAMPING,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PREG/CRAMPS,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
PREG/DYSPNEA ON EXERTION,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
PREG/FEVER,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
PREG/HTN,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PREG/MIGRAINE,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PREG/MVC,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PREG/N/V,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
PREG/NAUSEA,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
PREG/R ABD PAIN,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
PREG/SPOTTING,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
PREG/VAG BLEED,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
PREG/VAG BLEED ,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
PREG/VAG BLEEDING,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PREGNANCY EVAL,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
PREGNANCY ISSUES < 20  WK-WITH ABD PAIN,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
PREGNANCY ISSUES < 20 WK,38.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0
PREGNANCY ISSUES > 20 WK,16.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0
PREGNANCY RELATED ISSUES,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
PREGNANCY TEST,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
PREGNANCY VAGINAL BLEEDING,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PREGNANT,11.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
"PREGNANT ,MVC",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"PREGNANT ,NAUSEA",3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
PREGNANT /BLEEDING,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
PREGNANT ABD PAIN,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
PREGNANT BLEEDING,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
PREGNANT RLQ PAIN,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
PREGNANT S/P FALL,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
PREGNANT VAGINAL BLEEDING,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PREGNANT W/ ABD CRAMPING,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PREGNANT WITH CONTRACTIONS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"PREGNANT, ABD PAIN",6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
"PREGNANT, ABDOMINAL PAIN",8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
"PREGNANT, BLEEDING",14.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0
"PREGNANT, CRAMPING",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"PREGNANT, DVT-R/O PE",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"PREGNANT, HA",2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"PREGNANT, HA/DIZZY",4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
"PREGNANT, MVA",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"PREGNANT, S/P FALL",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"PREGNANT, SPOTTING",5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
"PREGNANT, SUBTANCE USE, Depression",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"PREGNANT, VAG BLEEDING",6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
PREGNANT/ MENSES,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
PREGNANT/ABD PAIN,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
PREGNANT/BLEEDING,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
PREGNANT/CP,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
PREGNANT/HA,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
PREGNANT/KICKED,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PREGNANT/SZ,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PREGNANT/VAGINAL BLEEDING,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
PREGNANT/VOMITING,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
PREGNANT/VOMITING BLOOD,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PREOP VIT K SHOT,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PRESCRIPTION FILL,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0
PRESCRIPTION MED REQUEST,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
PRESCRIPTION REFILL,10.0,3.0,0.0,0.0,10.0,3.0,0.0,0.0
PRESCRIPTION REQ,21.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0
PRESCRIPTION REQUEST,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PRESCRIPTION/MEDICATION REQUEST,10.0,3.0,0.0,0.0,10.0,3.0,0.0,0.0
PRESCRIPTION/MEDICATION REQUEST/HEPATORENAL FAILURE,0.0,2.0,0.0,2.0,0.0,0.0,0.0,100.0
PRESENTS FOR LAB WORK,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
PRESENTS FOR REMOVAL OF NASAL PACKING,0.0,14.0,0.0,0.0,0.0,14.0,0.0,0.0
PRESSURE IN HEAD,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PRESSURE ULCER,0.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0
PRESSURED SPEECH,40.0,1.0,0.0,0.0,40.0,1.0,0.0,0.0
PRESYNCOPAL,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
PRESYNCOPE,517.0,271.0,5.0,0.0,512.0,271.0,1.0,0.0
"PRESYNCOPE, EPISODE OF DYSPNEA",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PRESYNCOPE/ABD PAIN,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
PRESYNCOPE/RAPID AFIB,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
PRESYNCOPE/SYNCOPE,25.0,0.0,1.0,0.0,24.0,0.0,4.0,0.0
PRESYNCOPE/VOMITING,0.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0
PRESYNCOPY,0.0,6.0,0.0,2.0,0.0,4.0,0.0,33.300000000000004
PRIAPISM,0.0,21.0,0.0,0.0,0.0,21.0,0.0,0.0
PRIAPISM S/P CIALIS,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
PRIAPRISM,0.0,75.0,0.0,0.0,0.0,75.0,0.0,0.0
PROBLEMS WITH FISTULA,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
PROCEDURE LABS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PROD COUGH,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
PRODUCTIVE COUGH,237.0,102.0,1.0,1.0,236.0,101.0,0.4,1.0
PRODUCTIVE COUGH ,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
PROGRESSIVE SHORTNESS OF BREATH,0.0,5.0,0.0,1.0,0.0,4.0,0.0,20.0
PROGRESSIVE WEAKNESS,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
"PROGRESSIVE WEAKNESS, FALLS",0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
PROJECTILE VOMITING,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
PROLAPSE ,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
PROLAPSE UTERUS,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
"PROLAPSED BOWEL, Transfer",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PROLAPSED HEMORRHOID,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"PROLAPSED ILEOSTOMY, Transfer",0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
PROLAPSED RECTUM,12.0,0.0,1.0,0.0,11.0,0.0,8.3,0.0
PROPHYLAXIS TREATMENT STI,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
PROSTATE EVAL,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0
PROSTATITIS,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
PROSTHESIS EVAL,0.0,56.0,0.0,0.0,0.0,56.0,0.0,0.0
PROSTHESIS MALFUNCTION,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
PROTRUDING ILLIOSTOMY,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
PRURITIC SKIN LESIONS,14.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0
PRURITIS,38.0,28.0,2.0,1.0,36.0,27.0,5.3,3.5999999999999996
PRURITIS TO HANDS/FEET,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
PRURITIS X 2 WEEKS,16.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0
"PRURITIS, LEFT HAND SWELLING",0.0,16.0,0.0,0.0,0.0,16.0,0.0,0.0
PRURITUS,24.0,1.0,0.0,0.0,24.0,1.0,0.0,0.0
"PRURITUS, Altered mental status",7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
PRURUITIC EYES,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
PRURUTIC RASH,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PSCH EVAL,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
"PSEUDO SEIZURE, Transfer",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PSEUDO SEIZURE/PSYCH EVAL,14.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0
"PSEUDO-SZ, Abd pain",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
PSEUDOANEURSYM LEFT GROIN,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
PSEUDOANEURYSM AV FISTULA,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"PSEUDOANEURYSM, Transfer",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PSEUDOMONAS,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0
PSEUDOSEIZURE VS SZ VS PSYCH,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PSEUDOSEIZURES,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
PSEUDOSEIZURES X 1 YEAR,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PSYCH,391.0,686.0,0.0,1.0,391.0,685.0,0.0,0.1
PSYCH  EVAL,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
PSYCH  EVALUATION,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PSYCH  HI,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
PSYCH ADMISSION,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
PSYCH CONSULT,14.0,1.0,1.0,0.0,13.0,1.0,7.1,0.0
PSYCH EVAL,943.0,1134.0,2.0,10.0,941.0,1124.0,0.2,0.8999999999999999
PSYCH EVAL ,10.0,16.0,0.0,0.0,10.0,16.0,0.0,0.0
PSYCH EVAL  DETOX,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
PSYCH EVAL - HEARING VOICES,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
PSYCH EVAL IN CUSTODY,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
"PSYCH EVAL, Anxiety",4.0,3.0,0.0,0.0,4.0,3.0,0.0,0.0
"PSYCH EVAL, R Leg swelling",27.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0
"PSYCH EVAL, RACING THOUGHTS",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"PSYCH EVAL, SI",0.0,13.0,0.0,0.0,0.0,13.0,0.0,0.0
PSYCH EVAL/ANXIETY,0.0,16.0,0.0,0.0,0.0,16.0,0.0,0.0
PSYCH EVAL/CONFUSION,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
PSYCH EVAL/CRAMPS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PSYCH EVAL/DIAHRREA,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PSYCH EVAL/SI,1.0,5.0,0.0,0.0,1.0,5.0,0.0,0.0
