chiefcomplaint,count
HEADACHE/ABD PAIN,1
L Elbow laceration,1
"NEW ONSET DM, Hyperglycemia",1
"Palpitations, Headache, N/V",1
FACIAL ITCHING,1
"Rash, BREAST PAIN",1
SPLENIC INFARCTION TRANSFER,1
"Anxiety, B Hand pain, Depression",1
SEIZURE/UNRESPONSIVE,1
AFIB NEW ONSET,1
"L Facial swelling, Unresponsive",1
"Palpitations, Chest pain, Fever",1
"LETHERGY, WEAK",1
"L Hip pain, DEHYDRATION",1
SKIN SORES,1
"Dyspnea, Transfer, Chest pain",1
"s/p Fall, Hand injury",1
"Dysuria, RCI",1
"Headache, Nose pain",1
"Hypertension, Acute renal failure",1
"Malaise, Urinary incontinence",1
"s/p Fall, Dizziness, Facial injury, Mouth pain",1
"Ecchymosis, Vaginal bleeding",1
LUQ AND CP,1
"Abnormal labs, Altered mental status, Cough, Elevated wbc",1
VAGINAL BLEEDING 16 WEEKS PREG,1
"L Hip pain, L Leg pain, Rash",1
"Dyspnea, Hypertension, N/V, Transfer",1
"R Eye eval, R Eye redness",1
"Abnormal CT, Ataxia, Transfer",1
"Constipation, Abd pain, POST OP",1
"s/p Fall, MRI",1
"Fever, FOR ADMISSION",1
"Rash, EAR SWELLING",1
"Sore throat, FACIAL PAIN",1
"ESOPH OBSTRUCTION, Transfer",1
"ILI, Testicular pain",1
RIGHT LOWER ABD ABSCESS,1
RECTAL EVAL,1
CHEST WALL TRAUMA,1
? INC HERNIA,1
"FEVER, HIVES",1
PACER IS BEEPING,1
NEAR SYNCOPE ILI,1
"Psych, Abd pain",1
"R/O SEPSIS, SAH",1
"FEELS SHAKY, LIKELY WITHDRAWAL",1
"Abnormal MRI, Confusion",1
COUGH/ N/V/D,1
"DIZZINESS, HA",1
"UPPER AB, Upper abdominal pain",1
"MVC, L Elbow pain",1
"MVC, L Hip fracture, Transfer",1
"Bicycle accident, Head lac",1
IV PLACEMENT/UTI,1
"C SPINE FX, Transfer",1
LEFT LEG WOUND EVALUATION,1
"Transfer, R Calf pain",1
LUMP R HAND,1
"Diarrhea, Fever, Transfer",1
FALL/? SYNCOPE,1
"Hallucinations, Anxiety, Confusion",1
"GI BLEED, Transfer",1
"ABNORMAL CTA, Visual changes, Transfer",1
"B Ankle swelling, Foot pain",1
POLYSUBSTANCE,1
R ULNAR ARTERY INJ,1
"L Flank pain, Hematuria, Vomiting",1
"Dyspnea, Chest pain, Abnormal labs",1
"L Eye pain, BLURRY VISION",1
"Anxiety, R Ankle injury",1
"Assault, UNKNOWN",1
"Cough, Pleuritic chest pain, Transfer",1
SIP ARREST,1
"Syncope, R Ankle injury",1
BIKE CRASH,1
"Abd pain, Weakness, n/v/d",1
"Syncope, UNEQUAL PUPILS",1
FALL/TIBIA FRACTURE,1
STABBING L SHOULDER,1
R/O KIDNEY STONE,1
"ETOH, Lower abdominal pain, Vaginal bleeding",1
"ICH, Transfer, Dyspnea",1
R LIP ABSCESS,1
"s/p Fall, Hand injury, BROKEN TEETH",1
"SI, Neck pain",1
"Anxiety, MEMORY LOSS",1
"LIVER DX, Transfer",1
"Chest pain, Vomiting, Vomiting",1
FB HAND,1
"Transfer, Fever, Palpitations",1
"Asthma exacerbation, Lethargy",1
DIFFUSE ABD WITH N/V,1
"Sore throat, Anxiety, Fever",1
R/O CARBON MONOXIDEEE,1
"L Weakness, Palpitations",1
SYNCOPE/  HIT  HEAD,1
"Fever, R Arm Redness",1
CYST/TRANSFER,1
"Chest pain, Headache, Hypertension, Transfer",1
CARTDIAC ARREST,1
BILAT HAND INJURIES,1
Hemorrhoids,1
LARYNGEAL MASS,1
INTUBATED PE,1
FLU-B,1
"s/p Fall, MULT SPINE FX'S",1
"s/p Fall, FX LEFT FEM NECK",1
"Weakness, PNA",1
"Overdose, Cough",1
? BACTERIAL INFECTION,1
"N/V, R Arm pain",1
FB TO EYE,1
"Eye pain, Head injury",1
"HOSPICE, Seizure",1
BILAT FOOT PAIN/BURNING,1
ASPIRATION S/P COLONOSCOPY,1
"L Eye redness, Transfer",1
"HEADACHE, VISUAL CHANGES",1
TRACHEAL STENOSIS,1
"Dyspnea on exertion, Hematemesis",1
"DVT, L Arm swelling",1
Febrile seizure,1
"Fever, Sore throat, Hemoptysis",1
"Unsteady gait, Chest pain",1
HEMPTYSIS,1
"L Hip pain, Neck pain, Ped struck",1
"Epistaxis, N/V",1
"Atrial fibrillation, Leg swelling",1
"Fever, GALLSTONE PANCREATITIS",1
CRUSH INJ TO LEFT 3RD AND 4TH FINGER,1
"FEVER, S/P CHEMO",1
"L Shoulder dislocation, L Shoulder injury",1
L ARM TRACKING,1
"Palpitations, Cough, Tachycardia",1
"Fever, L Flank pain, Dysuria",1
"L Ankle pain, BEE STING",1
R THUMB BURN,1
HYPERTENSION URGENCY,1
SOCIAL ADMIT,1
S/P ENDOSCOPY,1
HEADACHE/ NECK PAIN,1
ICH  TX,1
"ETOH, TRAUMA",1
LOWER BACK PAIN / LLE PAIN,1
"FALL, HEAD INJURY",1
"Insect bite, R Elbow pain",1
"Pleuritic chest pain, Chest pain",1
"Syncope, Dental pain",1
"s/p Fall, C7 FX",1
RAPID HEART BEAT ,1
COPD ,1
"Dysuria, Unsteady gait, Confusion",1
SPLENIC INJURY,1
"L Foot pain, INFECTION",1
"Pelvic fracture, Transfer",1
"PREGNANT, CRAMPING",1
"LUQ abd pain, Pancreatitis, Transfer",1
"Back pain, Leg weakness, Unable to ambulate",1
PREG/?LABOR PAIN,1
"B Wrist pain, Lower back pain, s/p Fall",1
?DIALYSIS CATHETER INFECTION,1
+N/+V/+D,1
"s/p Fall, R RIB FX",1
"R Arm swelling, L Foot swelling",1
PYSCH EVAL/THORACIC PAIN,1
"Hallucinations, Ataxia",1
"Abd pain, Splenic laceration, Transfer",1
"BRBPR, Tremor",1
"Confusion, Fever, Lethargy, Transfer",1
"Neck pain, MVC, Chest pain",1
"Hematuria, Neck pain, R Foot pain",1
"Abnormal CT, MULTIPLE FALLS",1
"L Ankle pain, ETOH",1
"L FLANK,BACK PAIN",1
SUBQ AIR ON CHEST XRAY,1
SOB AND DIZZINESS,1
SEIZURE/INTUBATED,1
"Syncope, Neck pain, L Arm pain",1
R/O WRIST FX,1
"Syncope, MCI",1
"NECK, CHEST PAIN",1
"N/V, Fever, Cough",1
"SCROTAL LAC, Lip laceration",1
"N/V, Pregnant, Hematemesis",1
LLQ  PAIN,1
NEW ONSET LEUKEMIA,1
"n/v/d, Fever, Dyspnea",1
PALPS..,1
NASAL CONGESTION/SWELLING,1
"Transfer, Dog bite",1
"s/p Fall, Laceration, Facial injury",1
GI BLEED/HYPOTENSION,1
"Ear pain, MASTOIDOSIS",1
"UPPER BACK PAIN, NECK PAIN",1
S/ P CONFUSION,1
"NECK PAIN,NEURO EVAL",1
THIGH REDNESS,1
BLACK STOOL S/P ERCP,1
"Pneumonia, Tachycardia",1
"Seizure, Vomiting, Transfer",1
"Headache, L Eye pain, Transfer",1
?IPH,1
"MVC, Chest pain, L Hip pain",1
"""___"" Intoxication",1
"R Hip pain, Neck pain",1
"RASH, OPEN WOUNDS",1
RIGHT EYE VISUAL LOSS,1
BUTTOCK HEMATOMA,1
SORE THROAT/LUMP ON THROAT,1
"Lethargy, Rash",1
"L Elbow fracture, L Elbow pain, s/p Fall, Transfer",1
si/anxiety,1
"Abscess, Diverticulitis, Transfer",1
"Hyperglycemia, LLQ abdominal pain",1
"Abd pain, ABDNORMAL LABS",1
LACERATION TO RIGHT SHOULDER,1
R  EYE PAIN,1
"R Ankle injury, R Ankle pain, Transfer",1
"s/p Fall, LEFT HIP FX",1
"Transfer, OCCIPITAL MASS",1
"RENAL FAILURE, METABOLIC DISTURBANCE",1
L ANKLE FRACTURE,1
"Testicular pain, L Testicular pain",1
SWALLOWED FISH BONE,1
ACETABULAR FRACTURE,1
RIGHT MID FINGER REDNESS,1
SDH/TRANSFER,1
"Fever, Headache, POST OP",1
"R Hip fracture, SI, Transfer",1
"Diarrhea, Vomiting, Hypertension",1
"Bicycle accident, R Shoulder injury",1
"L Finger laceration, Finger pain",1
"Abnormal labs, Acute renal failure, Anemia",1
"Pelvic pain, Vaginal bleeding, Transfer",1
EVAL PE,1
"""SHAKES""",1
"Lower back pain, MVC, Thumb pain",1
"Abnormal CT, Pneumonia, Transfer",1
S/P FALL ON SIDEWALK,1
"BLEEDING, Transfer",1
R/O PERIORBITAL CELLULITIS,1
"Hypertension, Seizure, Transfer",1
"RESOLVED, Slurred speech, Visual changes",1
LEFT MIDDLE FINGER HEMATOMA,1
LEFT HAND/WRIST LACERATION,1
"Nausea, Rash, Weakness",1
R CHEST AND NECK PAIN,1
? LV THROMBUS,1
TONSIL BLEEDING,1
"Pregnant, R Rib pain, Vomiting",1
DIZZINESS/BRADYCARDIA,1
HAND VS SNOWBLOWER,1
"s/p Fall, Thumb injury",1
HA/FEVER/NECK PAIN,1
"ETOH, Transfer, SAH, Head injury",1
"Abd pain, N/V, Overdose",1
"30""FT FALL",1
"Dysuria, Presyncope, Urinary retention, Transfer",1
NV FEVER,1
CHOLEDOCHOLITHIASIS,1
LAC TO HEAD/BLOODY STOOL ,1
"Fatigue, L Leg pain",1
RABIES IMMUNIZATION,1
LUMP ON BREAST,1
"Abnormal CT, LUQ abd pain, s/p Fall",1
EXTREMITY NUMBNESS AND TINGLING,1
SENT FOR TESTING,1
LAP/INCONTINENCE,1
"MIGRAINE ,CP",1
MVC/ROLLOVER,1
INCREASED SHAKING,1
BILAT EYE CRUSTING/REDNESS,1
N/V WITH HA,1
CHEST TIGHTNESS/PALPATATIONS,1
"BRBPR, Constipation, Urinary retention",1
FX HUMERUS,1
BILATERAL MOTTLED LE,1
"Flank pain, Vaginal pain",1
"SCALP PAIN, Melena",1
"Fever, R Ear pain, R Facial swelling",1
"Fever, DIFFICULTY WALKING",1
SOB/DVT,1
"Presyncope, Weakness, Fever",1
"Ankle fx, s/p Fall, Transfer",1
"Fever, Headache, Weakness",1
"N,V X 1/2 HR",1
PNEUMONIA /ABD PAIN,1
R AXILLA ABSCESS,1
"L Arm pain, L Weakness, Shoulder pain",1
TRANSFER CBD STONES,1
"HYPERTENSIVE, LEFT SIDED DEFICIT",1
"Nausea, R Rib pain, Dyspnea",1
4TH DIGIT LAC LEFT,1
TRANSFER HA,1
"Vaginal bleeding, Abnormal CT",1
"HIP, WRIST FX",1
BLURRED VISION/RENAL COLIC,1
"Chest pain, Fever, R Knee pain",1
"Headache, R Hand swelling",1
ABNL COLONOSCOPY,1
HYPOXIA/POOR PO INTAKE,1
"INTUBATED, GI BLEED",1
"Headache, Hypertension, Vomiting",1
"Abd pain, Abdominal distention, Chest pain, Constipation",1
"Motorcycle accident, R Foot injury, Transfer",1
"Chest pain, n/v/d, Pelvic pain",1
"Cough, Dyspnea, ILI, Sore throat",1
OLD STROKE NEW APHAGIA,1
"Diarrhea, WEIGHTLOSS",1
RIGHT PATELLA FRACTURE,1
MVC NECK ARM PAIN,1
"Dyspnea, Pneumonia, Malaise",1
"Transfer, L Weakness, Slurred speech",1
"Cough, L Knee pain",1
"Hip pain, Knee pain, MVC",1
"Abnormal labs, Weakness, NSTEMI",1
DISLOCATED RIGHT ANKLE,1
STAB TO THE NECK,1
R LEG SPASMS,1
"B Femur fracture, s/p Fall, Transfer",1
"Abnormal labs, Anemia, Fatigue",1
"s/p Fall, RIGHT RADIAL FRACTURE",1
? ECTOPIC,1
"Altered mental status, SEPSIS, Transfer",1
"L Foot pain, L Foot swelling, L Leg swelling",1
"L Ankle swelling, R Wrist pain",1
ARM PAIM,1
"NEW MASS,JAUNDICE",1
LEFT ARM NUMBNESS/FACIAL NUMBNESS/H/A,1
ELEVATED TROPONIN/COUGH,1
Finger crush injury,1
CALCANOEUS FX,1
SOB/TACHY,1
"Hypoxia, Psych eval",1
HEAD INJURY/SUBSTANCE MISUSE,1
"Fever, UE SWELLING/ PAIN",1
?GROIN ABSCESS,1
IV ACCESS,1
"Abnormal ultrasound, Jaundice, Transfer",1
"H/A, EYE PAIN/BLURRY VISION",1
"ILI, Cough, Fever, Sore throat",1
SVC,1
"R Shoulder pain, Cough",1
STAPLED HAND ,1
"PELVIC FX, s/p Fall, WRIST FX",1
"H/A, BLURRY VISION S/P HEAD INJURY",1
"MYALGIA , N/V",1
LYME DISEASE/BELLS PALSY,1
INTERMITTENT FEVERS,1
"Palpitations, R Facial droop",1
R/O DISLOCATED R KNEE,1
S/P BASEBALL TO HEAD,1
"Pregnant, Transfer, Abd pain",1
S/P FALL FX RIGHT HUMERUS,1
RESP ARRREST,1
"COUGH,HEAD CONGESTION",1
FX HIP,1
"Neck pain, Assault, Abnormal CT",1
RIGHT  GROIN PAIN,1
DEVICE MALFUNCTION,1
S/P FALL LEFT SIDE WEAK,1
"FEVER, S/P SPINAL SUGERY",1
ITCHY VAG,1
MOTORCYCLE ACCIDENT YESTERDAY,1
CHILLS/WEAKNESS/COUGH,1
BRAIN MASS ?,1
"n/v/d, SI, Overdose",1
"L Wrist injury, Buttock pain",1
"Facial swelling, Neck pain, Transfer",1
"7 FT FALL, PELVIC FX, Transfer",1
PNEUMONTHORAX,1
"AAA, Abd pain, Back pain, Transfer",1
HA/TWITCHING LEFT EYE LID,1
"Abnormal CT, N/V, R Flank pain",1
OPEN FINGER FX,1
CVA/L FRONTAL INFARCT,1
"L Chest pain, L Wrist pain",1
LEFT KNEE,1
FALL FROM 50 FT,1
JOINT/MUSCLE PAIN,1
R FOOT/ANKLE PAIN,1
DISEMINATED ZOSTER,1
"NECK PAIN, RUE EVAL",1
CVA POST TPA,1
MV C,1
"Sore throat, Jaw pain",1
"Head injury, Laceration, MVC",1
"Foot swelling, Hand swelling, Tachycardia, Transfer",1
"Headache, UNWITNESSED FALL",1
"SHAKING, EXTREMITY TINGLING",1
"Back pain, Tremor",1
FOR UROLOGY,1
MASS ON CHIN,1
"s/p Fall, Lower back pain, T-spine fracture",1
"Transfer, Diverticulitis",1
"ETOH, RUQ abdominal pain",1
ABNORMAL LFTS,1
FATIGUE AFTER WALKING,1
"Asthma exacerbation, NSTEMI, Transfer",1
"Vaginal pain, Med refill",1
DSYPNEA,1
"LACS TO R ARM, HAND SWELLING",1
"SHORTNESS OF BREATH, FATIGUE",1
EYELID LACS,1
"s/p Fall, L Hip pain, L Elbow pain, Transfer",1
"Back pain, L Knee pain, MVC",1
"Hand numbness, HAND PRESSURE",1
"s/p Fall, Fatigue, Confusion",1
R/O NEC FASCITIS,1
FEVER/ACHEY,1
"Abd pain, BILIARY LEAK",1
"Failure to thrive, Hypotension, Weakness",1
"Altered mental status, SAH",1
DIZZINESS WITH ABD PAIN,1
L HAND,1
R/O PELVIC INFECTION,1
LOW K/DECREASE APPETITE/DIARRHEA,1
"R Foot redness, R Leg Redness",1
"Urinary frequency, Vaginal bleeding",1
CP AFTER BRONCHOSCOPY,1
IRREG BM ,1
DOUND DOWN/ETOH,1
"Leg weakness, Urinary retention, Transfer",1
"Transfer, Thrombocytopenia",1
DELIRIUM D/T HYPOXIA,1
"Transfer, Pneumothorax, Altered mental status",1
NOSE INFX,1
LLE PAIN /LEFT ARM PAIN,1
BLEEDING FROM LT.ARM,1
S/P MVC CHEST/BACK PAIN,1
"s/p Fall, Back pain, Leg pain",1
"L Weakness, Arm numbness, Facial numbness",1
"L Weakness, N/V",1
"Transfer, SAH, Assault",1
"Abd pain, Nausea, MVC",1
"Chest pain, PERFORATED ESOPHAGUS, Transfer",1
"Abd pain, n/v/d, Hypotension",1
"Headache, MEMORY LOSS",1
"Substance use, Syncope",1
REQUESTING DETOX/MED CLEARANCE,1
"R Foot pain, Fever, Vomiting",1
"Foot injury, Head injury",1
"s/p Fall, MULTIPLE INJURIES, Transfer",1
"L Eye pain, L Testicular pain",1
"Assault, Facial fracture, Head injury, Laceration, Transfer",1
SHARP PAINS LLE,1
"Wrist injury, L Wrist pain",1
"Motorcycle accident, L Ankle pain, R Leg pain",1
HEADACHE/VOMITING,1
"Dehydration, Lightheaded, Weakness",1
"Fever, Slurred speech, s/p Fall",1
"Anemia, Fatigue, Foot pain, Leg swelling",1
"MVC, Pneumonia",1
CALCANEAL FX,1
HEART MONITOR,1
"Headache, MVC, Upper back pain",1
CHEST WALL INJURIES,1
"Back pain, LOW SAT",1
"Knee pain, Ped struck",1
"Dyspnea on exertion, N/V, Tachycardia, Transfer",1
"Dyspnea, R Chest pain, Transfer",1
"Abscess, Hyperglycemia, L Leg pain",1
INGESTION OF ALCOHOL,1
NO PLACE TO SLEEP,1
"ETOH, HYPERGLYCEMIA",1
"DUSKY LE WHEN PRESSURE APPLIED, RIGHT GROIN HEMATOMA, Wound eval",1
"ILI, Unable to ambulate, Transfer",1
MC VS. AUTO,1
"PELVIC FX, s/p Fall, Transfer",1
"Weakness, Abnormal labs, Abnormal labs",1
T1 FX,1
"Fever, Lower back pain, Lower abdominal pain, Transfer",1
"Facial numbness, RESOLVED",1
"ILI, N/V, Syncope",1
"Leg weakness, Unsteady gait",1
"Unsteady gait, Numbness",1
"L Thumb pain, R Knee injury, s/p Fall",1
HEAD ACHES,1
"Abd pain, COUGH/SOB",1
"DIZZY, SOB",1
ABDOMINAL PAIN/BLACK STOOL,1
ABDOMINAL PAIN S/P C SECTION,1
"Lower back pain, Rectal pain, Abd pain",1
TONGUE BURNING,1
"Transfer, Elevated troponin, NEURO DECLINE",1
S/P IV HEROIN USE,1
HEAD/NECK PAIN  MVC,1
TACHY/PRESYNCOPE,1
"NAUSEA, ABD CRAMPING",1
ASCITES/NEW LIVER MASS,1
PALPTITATIONS,1
POISONING,1
"Dizziness, COMBATIVE",1
RIGHT FOOT CRUSH INJURY,1
"R Hip pain, R Hip pain",1
"MVC, R Ankle injury, Transfer",1
"Lip pain, Lip swelling",1
"ABD CRAMPING, Pregnant, Vaginal discharge",1
"Malaise, Neck pain",1
"Fever, Neck pain, ABNORMAL U/S",1
GANGRENOUS R FOOT,1
BURPING FOR DAYS,1
INTUBATED MS,1
"Dysuria, R Leg swelling",1
"Leg pain, PARETHESIAS, Transfer",1
"Malaise, Headache",1
"Bicycle accident, Neck pain",1
"SNOWMOBILE ACCIDENT, Transfer",1
"s/p Fall, L Wrist injury, Facial injury",1
"Head injury, L Ankle pain, s/p Fall",1
"Hip injury, s/p Fall, Syncope",1
"Assault, Eye swelling, Transfer",1
"PREG, PALPS",1
"Fever, Syncope, Headache",1
"Transfer, L Flank pain, Hypotension",1
ASSAULT/DIZZY,1
R/O SPONTANEOUS ABORTION,1
"AH, Tremor",1
"Psychiatric hold, L Finger injury",1
LEFT SIDED NUMBNESS RESOLVED,1
"B Rib fracture, Transfer",1
"s/p Fall, SAH IPH",1
LAC TO LEFT INDEX FINGER,1
"Altered mental status, Assault, Transfer",1
EVAL OF PICC LINE,1
"Altered mental status, Confusion, Fatigue",1
ABDOMINAL PAIN/RECTAL BLEEDING,1
"FATIGUE,BACK PAIN..",1
LLE NUMBNESS,1
"Altered mental status, Facial laceration",1
"Arm pain, Rash",1
"LEG PAIN, HEADACHE",1
VOMITING AND/OR NAUSEA/ NEAR SYNCOPE,1
"L Hand swelling, R Hand swelling",1
R/O MANDIBULAR FX,1
"Neck swelling, Pain",1
LEFT KNEE SWELLING/PAIN,1
"Abd pain, GROIN PAIN",1
S/P 15 ' FALL,1
"Transfer, Assault, Nasal fracture",1
BILATERAL LOWER LEG EDEMA W/ SOB,1
THROAT NUMBNESS,1
AXILLARY ABCESS,1
"Body pain, BRBPR, Weakness",1
THUMB AMPUTATION,1
VOMITING/LIVER FAILURE,1
"Altered mental status, FOUND, Found down",1
"ABD PAIN, LBP",1
L THUMB AMPUTATION,1
"Failure to thrive, Psychosis",1
LEFT LE ERYTHEMA,1
"Food bolus, Vomiting, Transfer",1
"N/V, Abd pain, CP S/P CABG",1
HIGH LITHIUM LEVEL,1
WEAKNESS ?MYASTHENIA FLARE,1
ECTOPIC PREG,1
SYNCOPE/SVT,1
"s/p Fall, Hand injury, TRAUMA",1
PROLAPSED HEMORRHOID,1
"Hypertension, Hypoglycemia, Altered mental status",1
"Finger laceration, L Finger injury",1
HCT DROP HEMATURIA,1
STEMI AND HEAD INJURY,1
FACIAL INJURY S/P FALL,1
FALL  15 FT,1
"R Jaw pain, s/p Fall",1
"Assault, R Facial pain, Head injury",1
CHANG IN MS,1
SPLINTER RIGHT MIDDLE FINGER,1
FEMER FX ,1
"Cough, Difficulty breathing, Sore throat",1
LEFT FACIAL ASYMETRY,1
"ICH, Syncope",1
"Mania, AH",1
"Altered mental status, Fever, NSTEMI",1
LEFT 3RD DIGIT LAC,1
"s/p Fall, Back pain, R Shoulder injury",1
"R Shoulder injury, R Shoulder pain, Anemia",1
"EKG CHANGES ELEVATED TROPONIN, Transfer",1
"NUMB IN LEFT ARM, VERTIGO",1
FEVERS AND RUQ PAIN,1
R/O  EXPOSURE,1
"ETOH, Vomiting, Headache",1
"Abnormal labs, Overdose, s/p Fall, Transfer",1
ICH/ASSAULT,1
CHEST PAIN/TINGLING,1
DEC URINE OUTPUT/LEG ULCERS,1
MOTOCYCLE ACCIDENT,1
"MVC, Laceration, Transfer",1
"INTUABTED, Transfer",1
"MVC, Dizziness, Chest pain, Transfer, Headache",1
"Weakness, EPISODIC HYPOTENTION",1
"GI bleed, Transfer, Drug withdrawal",1
"Epistaxis, Presyncope",1
LEFT PNEUMOTHORAX,1
FISTUALA CLOTTED,1
"Headache, Dizziness, MVC",1
"DIVING ACCIDENT, Neck pain",1
"s/p Fall, R Finger laceration",1
"Dyspnea, CONCERN FOR PE",1
"N/V, R Chest pain",1
"s/p Fall, Sternal fracture, T-spine fracture, Transfer",1
H/A S/P MVC,1
"Hematuria, Dysuria, Lower abdominal pain",1
R/O RAPID HEART RATE,1
L THUMB AMP PARTIAL,1
"Fever, KNEE INFECTION",1
S/P CHEST PRESSUR; RIGHT ARM SWELLING,1
"ASSAULT, HUMAN BITE",1
___  S.I,1
BICYCLIST VS PED,1
SICKLE CELL CRISIS PAIN,1
"Transfer, L TIB/FIB FX",1
"Weakness, Vomiting, Chest pain",1
R   FOOT  PAIN,1
"Weakness, FEVERS +LYME",1
R HAND DOG BITE,1
"Unsteady gait, Lethargy, Confusion",1
B/L ELBOW FRACTURE,1
CEREBELLAR MASS,1
"Arm injury, s/p Fall",1
"ABD PAIN, R/O APPENDICITIS",1
RIGHT FACE PAIN,1
"Anxiety, Dizziness, Headache",1
"FEVER,POST-OP",1
HEADACHE TX,1
R GROIN PAIN; R FLANK PAIN,1
R HAND CRUSH INJURY,1
"Abnormal labs, Pedal edema",1
UPPER BACK PAIN/HEADACHE,1
"R Leg swelling, Numbness",1
R/O SEPSIS TRANSFER,1
TORN HAMSTRING,1
"L Elbow pain, L Femur fracture, s/p Fall",1
MULTIPLE CO,1
"Penile pain, RLQ abdominal pain",1
"MVC, L Shoulder injury",1
"PALE, Anemia",1
"R FACE,ARM NUMBNESS AND TINGLING",1
BILAT THIGH HEMATOMAS,1
CARDIAC ARREST/OD,1
"Abscess, Dental pain, Facial swelling, Transfer",1
"NEURO DEFICIT, Unsteady gait",1
ABD PAIN/RED STOOLS,1
"L Shoulder pain, PE, Transfer",1
"L Thumb injury, Needlestick",1
"L Hand numbness, Palpitations",1
"Abdominal distention, Influenza, Transfer",1
LEFT 5TH TOE,1
PARIENTAL HEAD BLEED,1
"URINARY RETENTION,HEMATURIA",1
"s/p Fall, +L1 FX",1
"Abd pain, BLOATING",1
HAND SWELLING/KNEE PAIN,1
"Chest pain, Hematuria, Back pain",1
"s/p Fall, Head injury, L Elbow pain",1
AMPUTATED FINGER TRANSFER,1
"B Pelvic pain, Bicycle accident",1
", n/v/d",1
"ICH, INTUBATED TRANSFER",1
S/P  MVA,1
LASIX DRIP  ___ TRANSFER,1
ARACHNOID CYST ,1
"Abnormal xray, Hemoptysis",1
"Foot swelling, CELLULITIS",1
"L Eye pain, n/v/d",1
BIZARRE ,1
DISLOCATED FINGER,1
"R Hand injury, R Hand swelling, Transfer",1
DETOX OPIATES,1
"Laceration, FALLING OBJECT",1
"PE, Bradycardia",1
LEFT EYELID LAC,1
FEVER S/P BX ___ NOW FEVER,1
"Hypotension, Nausea, Syncope",1
"CUTTING, R/O SI",1
"Elevated wbc, Malaise",1
S/P FALL/ CSPINE FX,1
"FREQUENT FALLS,AMS",1
LEFT HIP PAIN AFTER FALL,1
"L Finger laceration, L Hand injury",1
S/P FALL FROM ROOF,1
"EDEMA, NEW MURMUR",1
LUQ PAIN X A FEW WEEKS,1
"R Hand numbness, L Leg numbness",1
LAC TO LIP,1
"Headache, L Ear pain, Sore throat",1
N/V ___ PAIN,1
PERIORBITAL ECCHYMOSIS,1
"FEVER, ANEMIA, ABNL LABS",1
"STATUS EPILEPTICUS, Intubated, Transfer",1
ALTERED MENTAL STATUS/ FEVER,1
POST OP CONCERNS,1
"S/P FALL, RIGHT KNEE PAIN",1
"L Leg swelling, Cellulitis, Transfer",1
MULTIPLE STAB WOUNDS,1
"Transfer, Headache, CAVERNOUS SINUS THROMBOSIS",1
"Lightheaded, Nausea, RLQ abdominal pain",1
DOESN'[T FEEL WELL,1
DIFFICULTY EATING,1
R HAND PAIN/RESOLVED SWELLING,1
PED STRUCK MVC,1
"Back pain, Dyspnea, Wheezing",1
"Palpitations, Constipation",1
MC VS TREE,1
"Right sided abdominal pain, S/P LIVER BX",1
MCI/NECK PAIN,1
"Abdominal distention, Leg swelling, Hyponatremia",1
"Dizziness, Lower back pain, s/p Fall",1
S/P APAHSIA,1
FALL 15 STAIRS,1
"Dysuria, N/V, Vomiting, Weakness",1
"Allergic reaction, Fever, Rash",1
"Weakness, L Arm weakness",1
"Unresponsive, Hypoxia",1
LOW AND MID BACK PAIN,1
FEVER W/ BACK PAIN,1
MOUTH PAIN/SORE THROAT,1
ETOH/ABD PAIN/N/V,1
VERTIGO ,1
"Ped struck, Wound eval",1
RECTAL BLEEDING X 6 MOS,1
"Fever, Hypotension, Jaundice",1
"Headache, Lightheaded, Visual changes",1
RIGHT EYE LOSS OF VISION,1
"Neck pain, Numbness, Visual changes",1
"Transfer, Found down, L Facial droop",1
SNIFFLES,1
HYPETENSIVE/HA,1
"Assault, Laceration, ETOH",1
"DIFFICULTY SPEAKING, WEAKNESS",1
"CHANGE IN MENTAL STATUS, Vomiting",1
"Bicycle accident, L Wrist injury",1
"R Shoulder dislocation, s/p Fall, SDH",1
SPINE FX,1
"Back pain, Unable to ambulate, Urinary retention",1
"Chest pain, L Jaw pain",1
"Epistaxis, Elevated INR",1
"Elevated INR, Palpitations",1
"Transfer, SUBLINGUAL ABSCESS",1
ABSCESS BUTOCKS,1
LE PAIN/FATIGUE,1
"Dizziness, R Calf pain",1
"Back pain, R Leg pain, s/p Fall",1
"Bradycardia, Dizziness, Nausea, Vomiting",1
PRE TERM LABOR,1
HYPERTENSION/PALPATATION,1
"s/p Fall, R Chest pain, R Knee pain",1
"R Eye eval, Visual changes, Transfer",1
"s/p Fall, RIGHT PNEUMOTHORAX",1
LAC  TO L FOOT,1
"s/p Fall, Dental pain",1
"Transfer, TIBIAL PLATEAU FX",1
"Confusion, ILI, Transfer",1
HEADACHE/PHOTPHOBIA,1
HAND BURNS,1
TWISTED ANKLE,1
"Facial droop, L Arm weakness, L Weakness",1
LS ABD PAIN,1
"DIZZY, DYSPNEA, COUGH",1
FALL 8 STAIRS,1
"R Eye pain, s/p Fall, SDH, Transfer",1
? CHEST INFECTION,1
BYPASS OCCLUSION,1
SKATEBOARD VS CAR + LOC,1
"Fever, Back pain, Diarrhea",1
RESP DISTRESS - INTUBATED TRANSFER,1
"Fever, FACIAL SWELLING",1
"6""-8"" FALL CHEST TRAUMA",1
"FALL,LFOOT HIP PAIN",1
SPOTTING ,1
